mutant_id,MR01_hflip,MR02_brightness_up,MR03_brightness_dn,MR04_gauss_noise,MR05_neg_contrast,MR06_ch_shuffle,MR07_vflip,MR08_salt_pepper,MR09_crop_pad,MR10_identity,MR11_translate,MR12_rotate180,MR13_grayscale,MR14_cutout,MR15_drop_blue,MR16_contrast_up,MR17_blur,MR18_red_tint,MR19_pixelate,MR20_transpose
WF_mild_conv1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
WF_mild_layer1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0
WF_mild_layer2,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0
WF_mild_layer3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
WF_mild_layer4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WF_mild_bn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WF_mild_downsample,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
WF_mild_fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WF_strong_conv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WF_strong_layer1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WF_strong_layer2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WF_strong_layer3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WF_strong_layer4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WF_strong_bn1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0
WF_strong_downsample,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
WF_strong_fc,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0
WN_conv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WN_layer1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WN_layer2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WN_layer3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
WN_layer4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WN_bn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WN_downsample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WN_fc,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
WZ_conv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WZ_layer1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
WZ_layer2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WZ_layer3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WZ_layer4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WZ_bn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WZ_downsample,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
WZ_fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WS_scale2_layer3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WS_scale2_layer4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WS_scale2_fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN_reset_layer1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
BN_reset_layer2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
BN_reset_layer3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BN_reset_layer4,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
BN_reset_bn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DO_cripple_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DO_cripple_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
